Station	Year	Month	Day	Max Temp. (degree Celcius)	Min Temp. (degree Celcius)	Rainfall (mm)	Actual Evaporation (mm)	"Relative Humidity (morning, %)"	"Relative Humidity (afternoon, %)"	Sunshine (hour/day)	Cloudy (hour/day)	Solar Radiation (cal/cm^2/day)
Barisal	2017	1	1	25.2	13.8	0	1	94	62	6.3	4.5	277.72
Barisal	2017	1	2	25.4	13.8	0	1	94	62	5.5	5.3	257.52
Barisal	2017	1	3	25.6	13.4	0	1	94	61	6.2	4.6	275.2
Barisal	2017	1	4	25.4	14	0	1	94	64	6.3	4.5	277.72
Barisal	2017	1	5	23	13	0	1	94	68	4	6.8	219.63
Barisal	2017	1	6	24.2	13.2	0	1	94	NIL	4.7	6.1	237.31
Barisal	2017	1	7	23.8	13.8	0	1	94	68	4.4	6.4	229.73
Barisal	2017	1	8	25.8	12	0	2	94	58	6.6	4.2	285.3
Barisal	2017	1	9	26.6	12.6	0	1	94	52	6.6	4.2	285.3
Barisal	2017	1	10	17.4	13	0	2	94	55	6.3	4.5	277.72
Barisal	2017	1	11	24.8	12.8	0	1	94	54	6.4	4.4	280.25
Barisal	2017	1	12	24.4	13.8	0	2	94	53	6.2	4.6	275.2
Barisal	2017	1	13	22.8	10.4	0	1	85	NIL	6.4	4.4	280.25
Barisal	2017	1	14	22	8	0	2	85	40	6.5	4.3	282.77
Barisal	2017	1	15	23.8	8.4	0	1	92	52	6.6	4.2	285.3
Barisal	2017	1	16	24.4	9	0	1	93	56	6.4	4.4	280.25
Barisal	2017	1	17	26	9.4	0	1	93	49	6.7	4.1	287.82
Barisal	2017	1	18	26	9.8	0	2	93	50	6.6	4.2	285.3
Barisal	2017	1	19	26.8	10.8	0	2	93	50	6.7	4.1	287.82
Barisal	2017	1	20	25.8	10.8	0	2	93	NIL	6.5	4.3	282.77
Barisal	2017	1	21	25.8	10.2	0	2	93	52	6.6	4.2	285.3
Barisal	2017	1	22	27.6	11	0	1	94	55	6.4	4.4	280.25
Barisal	2017	1	23	26.4	12.2	0	1	94	52	6.6	4.2	285.3
Barisal	2017	1	24	27.2	12.2	0	1	94	52	6.6	4.2	285.3
Barisal	2017	1	25	28.6	13	0	1	94	48	6.7	4.1	287.82
Barisal	2017	1	26	31	13.2	0	2	94	53	6.9	3.9	292.88
Barisal	2017	1	27	29.6	13.6	0	2	94	NIL	5.3	5.5	252.46
Barisal	2017	1	28	28	14.4	0	2	94	50	6.2	4.6	275.2
Barisal	2017	1	29	25.8	14	0	1	94	54	7.1	3.7	229.93
Barisal	2017	1	30	26	12.6	0	1	94	50	7.2	3.6	300.45
Barisal	2017	1	31	26.2	13	0	2	94	52	7.2	3.6	300.45
Barisal	2017	2	1	28.2	13.8	0	2	94	55	6.7	4.5	32.63
Barisal	2017	2	2	26.6	14.2	0	2	94	52	6.9	4.3	338.38
Barisal	2017	2	3	24.8	13.6	0	2	94		6.9	4.3	338.38
Barisal	2017	2	4	24.8	13.8	0	2	94	49	7.2	4	347
Barisal	2017	2	5	32.4	14	0	2	94	47	7.6	3.6	358.5
Barisal	2017	2	6	32.2	14.6	0	1	94	47	7.7	3.5	361.38
Barisal	2017	2	7	29.6	14.6	0	3	94	49	7.3	3.9	349.88
Barisal	2017	2	8	28.4	14.6	0	2	94	49	7.5	3.7	355.63
Barisal	2017	2	9	29	13	0	2	94	43	7.7	3.5	361.38
Barisal	2017	2	10	30.4	14	0	2	94	NIL	7.2	4	347
Barisal	2017	2	11	29.8	14.4	0	1	94	54	6.3	4.9	321.13
Barisal	2017	2	12	30	17.6	0	2	94	51	7	4.2	341.25
Barisal	2017	2	13	29	16	0	3	89	47	6.3	4.9	321.13
Barisal	2017	2	14	29.8	16.2	0	2	94	52	6.9	4.3	338.38
Barisal	2017	2	15	29.8	17	0	2	94	42	7.3	3.9	349.88
Barisal	2017	2	16	29.6	15.4	0	2	94	42	7.5	3.7	355.63
Barisal	2017	2	17	30	15	0	3	88	NIL	8	3.2	370
Barisal	2017	2	18	30.8	15	0	1	94	52	7	4.2	341.25
Barisal	2017	2	19	30.4	16	0	2	94	54	5.5	5.7	298.13
Barisal	2017	2	20	29.6	17.8	0	2	89	56	4.7	6.5	275.13
Barisal	2017	2	21	31	21.4	0	2	95	52	7.4	3.8	352.75
Barisal	2017	2	22	31.6	21.8	0	2	90	54	6.6	4.6	329.75
Barisal	2017	2	23	31.2	22	0	1	90	54	5.2	6	289.5
Barisal	2017	2	24	29.8	16.6	0	2	95	NIL	8.2	3	375.75
Barisal	2017	2	25	29.6	15.4	0	4	89	47	8.5	2.7	384.38
Barisal	2017	2	26	31.6	14.6	0	1	94	44	8.6	2.6	387.25
Barisal	2017	2	27	31.8	15.4	0	1	94	44	7.8	3.4	364.25
Barisal	2017	2	28	32.2	17	0	3	95	42	8.2	3	375.75
Barisal	2017	3	1	32	15.8	0	2	94	41	8.3	3.6	428.65
Barisal	2017	3	2	34	17	0	3	95	45	7.3	4.36	396.84
Barisal	2017	3	3	33.6	19	0	3	90	NIL	7.6	4.3	406.38
Barisal	2017	3	4	31.8	20.8	0	2	95	59	6.9	5	384.11
Barisal	2017	3	5	31.8	20.4	17	3	95	59	5.9	6	352.3
Barisal	2017	3	6	28.6	20.8	0	2	95	59	4.8	7.1	317.3
Barisal	2017	3	7	31	21	0	2	95	59	5.3	6.6	333.21
Barisal	2017	3	8	29	22	8.6	3.6	95	16	0.9	11	193.23
Barisal	2017	3	9	29.4	17.8	1	3	95	66	6.7	5.2	377.75
Barisal	2017	3	10	31.8	19	22	2	95	NIL	6.4	5.5	368.21
Barisal	2017	3	11	28.8	20.8	0	2.4	95	78	3.4	8.5	272.77
Barisal	2017	3	12	29	20	0	2	95	79	4.8	7.1	317.3
Barisal	2017	3	13	29	17.6	0	3	83	43	8.4	3.5	431.83
Barisal	2017	3	14	29.8	16.2	0	2	94	44	8.7	3.2	441.38
Barisal	2017	3	15	30.6	16	0	4	94	42	8.8	3.1	444.56
Barisal	2017	3	16	31	16	0	2	89	42	8.3	3.6	428.65
Barisal	2017	3	17	32.4	16.8	0	3	95	NIL	7	4.9	387.29
Barisal	2017	3	18	30.4	19.4	14	4	95	47	3.5	8.4	275.95
Barisal	2017	3	19	32.4	19	4.4	3.4	95	47	8	3.9	419.11
Barisal	2017	3	20	22.6	20	1.2	2.2	95	80	0.5	11.4	180.51
Barisal	2017	3	21	29.8	16.2	0	3	94	47	8.5	3.4	435.01
Barisal	2017	3	22	32	17	0	3	95	55	8	3.9	419.11
Barisal	2017	3	23	32.8	18	0	2	90	47	8.1	3.8	422.29
Barisal	2017	3	24	33.6	21	0	3	95	NIL	7.3	4.6	396.84
Barisal	2017	3	25	34.4	21.6	0	3	95	49	7.5	4.4	403.2
Barisal	2017	3	26	32.6	21.4	0	3	90	45	7.7	4.2	409.56
Barisal	2017	3	27	33.4	22.6	0	2	95	49	7.4	4.5	400.02
Barisal	2017	3	28	31.4	23.6	0	3	95	57	6.6	5.3	374.57
Barisal	2017	3	29	32.4	24	0	3	96	63	6.2	5.7	361.84
Barisal	2017	3	30	32.2	24.8	0	3	91	59	8.9	3	447.74
Barisal	2017	3	31	NIL	25.8	0	4	91	NIL	8.4	3.5	431.83
Barisal	2017	4	1	32.8	26	0	4	9	61	8.7	3.9	458.61
Barisal	2017	4	2	32	25.8	0	4	91	70	8.8	3.8	461.85
Barisal	2017	4	3	32	26	0	3	91	70	5.6	7	358.34
Barisal	2017	4	4	31	26	3.8	4	91	76	4.3	8.33	316.29
Barisal	2017	4	5	32.6	25.8	0	3.8	96	67	6.8	5.8	397.15
Barisal	2017	4	6	32	21.8	0	2	95	72	4.6	8	325.99
Barisal	2017	4	7	33.6	23	0	2	96		8	4.6	435.97
Barisal	2017	4	8	34.8	25	0	2	96	74	5.7	6.9	361.57
Barisal	2017	4	9	34.6	25.6	0	2	96	70	6	6.6	371.28
Barisal	2017	4	10	34.8	25.8	0	3	96	65	6.2	6.4	377.75
Barisal	2017	4	11	34	25.8	0	2	96	67	7.7	4.9	426.26
Barisal	2017	4	12	34.6	25.2	0	3	96	65	8.2	4.4	442.44
Barisal	2017	4	13	35.2	24.2	0	4	96	62	9	3.6	468.31
Barisal	2017	4	14	35.4	22.8	0	4	96	NIL	8.5	4.1	452.14
Barisal	2017	4	15	34.4	23.4	0	3	96	62	8.9	3.7	465.05
Barisal	2017	4	16	32.4	24	0	2	96	67	6	6.6	371.28
Barisal	2017	4	17	34	22	0	3	96	54	8.8	3.8	461.85
Barisal	2017	4	18	34.6	22	0	4	96	62	8.9	3.7	465.08
Barisal	2017	4	19	32	25.4	66.4	3.4	96	69	3.7	8.9	296.88
Barisal	2017	4	20	32.4	21.4	7.2	4.2	91	70	6	6.6	371.28
Barisal	2017	4	21	30.8	22.8	56.4	3.4	100	NIL	2.5	10.1	258.07
Barisal	2017	4	22	26.6	21	104.4	3.4	96	86	0.4	12.2	190.14
Barisal	2017	4	23	29.2	20	41.4	3.4	96	92	1.8	10.8	235.42
Barisal	2017	4	24	26.2	20.4	34.2	2.2	100	90	1	11.6	209.55
Barisal	2017	4	25	32	20.4	0	4	95	63	8.4	4.2	448.91
Barisal	2017	4	26	33	26.4	0	3	96	74	7.4	5.2	416.56
Barisal	2017	4	27	34.4	26.6	2.4	4.4	96	71	8	4.6	435.97
Barisal	2017	4	28	35	26.6	0	3	96	NIL	7.7	4.9	426.26
Barisal	2017	4	29	34.8	26.8	0	5	0	NIL	9.3	3.3	478.08
Barisal	2017	4	30	34.4	25.8	5.2	5.2	80	NIL	9	3.6	468.31
Barisal	2017	5	1	34.4	2.6	5	5	95	62	9.2	4	486.25
Barisal	2017	5	2	33.6	20.8	0	3	95	59	9.3	3.9	489.5
Barisal	2017	5	3	35	23	0	3	96	59	8.8	4.4	473.23
Barisal	2017	5	4	35.2	26	0	2	96	62	9.3	3.9	489.5
Barisal	2017	5	5	34.4	26.2	0	4	96		6.9	6.3	411.38
Barisal	2017	5	6	33.6	26.6	0	5	92	62	9.9	3.3	509.0.3
Barisal	2017	5	7	34.6	26.6	0	5	92	62	9.8	3.4	505.78
Barisal	2017	5	8	35	26.6	0	3	96	62	9.8	3.4	505.78
Barisal	2017	5	9	35	26.4	28.2	4	96	71	6.2	7	388.6
Barisal	2017	5	10	34.2	23	0	3	96	74	8.5	4.7	463.46
Barisal	2017	5	11	35.4	23.8	1.2	3.2	96	65	9.2	4	486.25
Barisal	2017	5	12	31	25	0	3	96		9.3	3.9	489.5
Barisal	2017	5	13	36.4	26	0	4	96	59	8.9	4.3	476.48
Barisal	2017	5	14	35.8	26.2	0	3	92	57	8.9	4.3	476.48
Barisal	2017	5	15	34.2	27	32	5	92	59	6	7.2	382.09
Barisal	2017	5	16	32.4	21.2	0	4	100	77	7	6.2	414.64
Barisal	2017	5	17	33.8	22.8	16.8	4.8	96	71	6.1	9.1	320.25
Barisal	2017	5	18	32.2	22.8	0	4	95	65	6.8	6.4	408.13
Barisal	2017	5	19	36.8	23.8	0	4	96		7.2	6	421.15
Barisal	2017	5	20	36.2	28.4	0	4	96	65	9.3	3.9	489.5
Barisal	2017	5	21	36.8	28.4	0	4	92	65	8.5	4.7	46.346
Barisal	2017	5	22	36.4	28.4	0	4	92	68	9.2	4	486.25
Barisal	2017	5	23	36	28.2	0	3	92	65	8.4	4.8	460.21
Barisal	2017	5	24	36	28	0	4	92	65	8.8	4.4	473.23
Barisal	2017	5	25	36.6	28.8	0	3	92	62	8.9	4.3	476.48
Barisal	2017	5	26	36.4	26.4	0	5	92		8.5	4.7	463.46
Barisal	2017	5	27	37.2	27	0	5	92	62	8.8	4.4	473.23
Barisal	2017	5	28	37.6	27.6	0	5	87	49	8.1	5.1	450.44
Barisal	2017	5	29	33.8	26	5.8	3.8	87	68	0	13.2	186.8
Barisal	2017	5	30	29	26.8	9.4	2.4	91	96	0	13.2	186.8
Barisal	2017	5	31	33	NIL	0	3	92	84	4.6	8.6	336.52
Barisal	2017	6	1	33.4	27.2	104.4	3.4	92	62	2.9	10.6	282.68
Barisal	2017	6	2	30	24.4	22.4	5	96	NIL	3.9	9.6	314.91
Barisal	2017	6	3	33.6	22.6	0	4	92	75	9	4.5	479.31
Barisal	2017	6	4	34.4	28	0	4.2	96	71	5.4	8.1	363.26
Barisal	2017	6	5	33	27	39.2	4	92	74	3	10.5	285.9
Barisal	2017	6	6	34.4	23.2	0	3	96	75	6	7.5	382.6
Barisal	2017	6	7	36.2	26.8	0	3.6	96	62	8.1	5.4	450.3
Barisal	2017	6	8	35	28.2	1.6	4	96	71	4.35	9	336.25
Barisal	2017	6	9	34.4	26.8	0	3.8	96	NIL	6.9	6.6	411.62
Barisal	2017	6	10	34.4	26.8	1.8	2	96	64	7.8	5.7	440.63
Barisal	2017	6	11	34.4	26	54	2	96	92	0	13.5	189.2
Barisal	2017	6	12	27.2	25	20	2	100	96	0	13.5	189.2
Barisal	2017	6	13	32	25	0	2	96	92	0	13.5	189.2
Barisal	2017	6	14	31.8	25	0	3	96	80	6.7	6.8	405.17
Barisal	2017	6	15	30	27.4	26	3	96	80	1.2	12.3	227.88
Barisal	2017	6	16	28.6	25.6	0	3	96	NIL	7.2	6.3	421.29
Barisal	2017	6	17	33	26.6	8	3	96	96	3.9	9.6	314.91
Barisal	2017	6	18	34	27.2	3.6	3.6	96	81	5	8.5	350.37
Barisal	2017	6	19	32.4	27.6	68.2	0	96	92	1.1	12.4	224.66
Barisal	2017	6	20	29.8	23	70	3	96	80	2.7	10.8	276.23
Barisal	2017	6	21	30.4	24	0	4	96	92	0.9	12.6	218.21
Barisal	2017	6	22	31.6	25.8	0	5	96	80	6.1	7.4	385.83
Barisal	2017	6	23	32.4	26.6	1.8	3.8	96	NIL	7.4	6.1	427.73
Barisal	2017	6	24	31.8	26.2	1.6	3.6	96	92	6.3	70.2	392.27
Barisal	2017	6	25	31.2	26.2	0.8	3.8	96	84	5.6	7.9	369.71
Barisal	2017	6	26	31.4	27.2	4.6	3.6	96	80	5.3	8.2	360.04
Barisal	2017	6	27	33	27	5.4	4.4	96	84	6.1	7.4	385.83
Barisal	2017	6	28	31.6	27	1.2	4.2	96	88	5	8.5	350.37
Barisal	2017	6	29	31.6	26.8	0	3	96	77	6.3	7.2	392.27
Barisal	2017	6	30	30.8	27	6.6	2.6	96	NIL	1	12.5	221.43
Barisal	2017	7	1	30.6	27.2	22.4	2.4	96	92	2.8	10.6	277.76
Barisal	2017	7	2	29.4	25.8	23.2	0	96	92	0	13.4	187.6
Barisal	2017	7	3	28.2	26	3	2	96	96	0	13.4	187.6
Barisal	2017	7	4	29	26.2	10	2	96	96	0	13.4	187.6
Barisal	2017	7	5	28	26.2	88.4	2.4	100	100	0	13.4	187.6
Barisal	2017	7	6	29.8	25.6	14	3	96	96	4.1	9.3	319.62
Barisal	2017	7	7	29.6	26.2	22	4	100	92	2.7	10.7	274.54
Barisal	2017	7	8	30.4	25.8	4.4	2.4	96	96	1.4	12	232.68
Barisal	2017	7	9	30.4	26.2	6.4	2.4	96	84	2.6	10.8	271.32
Barisal	2017	7	10	28.4	26	21	2	96	96	0.4	13	200.48
Barisal	2017	7	11	30	25.6	0.6	1.6	100	96	0.5	12.9	203.7
Barisal	2017	7	12	30.6	25.6	0	2	96	96	1.3	12.1	229.46
Barisal	2017	7	13	27	26.2	8.4	1.4	96	96	0	13.4	187.6
Barisal	2017	7	14	29	25.2	0	3	96	77	8.2	5.2	451.64
Barisal	2017	7	15	32.8	26	0	3	87	74	8.7	4.7	467.74
Barisal	2017	7	16	33.8	26.8	1.6	4.6	92	67	8	5.4	445.2
Barisal	2017	7	17	34.6	27	0	5	96	67	8.8	4.6	470.96
Barisal	2017	7	18	32.8	27.6	21.2	5.2	92	71	7.3	6.1	422.66
Barisal	2017	7	19	26.8	25.8	38	2	96	96	0	13.4	187.6
Barisal	2017	7	20	26	25	57	3	96	96	0	13.4	187.6
Barisal	2017	7	21	28.8	20.4	14.2	2.2	100	92	0	13.4	187.6
Barisal	2017	7	22	27.2	25.2	5	2	96	96	0	13.4	187.6
Barisal	2017	7	23	27.8	25.8	12.8	1.8	96	96	1.2	12.2	226.24
Barisal	2017	7	24	25.6	25	72	2	96	96	0	13.4	187.6
Barisal	2017	7	25	26.4	24	14	2	100	96	0	13.4	187.6
Barisal	2017	7	26	28	24.2	0	3	100	92	0.5	12.9	203.7
Barisal	2017	7	27	31	24.8	7.6	1.6	96	84	4.4	9	329.28
Barisal	2017	7	28	31.2	26	15.12	2.2	96	88	2.5	10.9	268.1
Barisal	2017	7	29	31.6	26.2	0	2	100	84	1.7	11.7	242.34
Barisal	2017	7	30	32	26.6	0	2	96	84	3.6	9.8	303.52
Barisal	2017	7	31	33.2	27	0	4	96	78	9.4	4	490.28
Barisal	2017	8	1	32.4	27.4	7.2	2.2	96	78	6.1	6.7	384.4235938
Barisal	2017	8	2	33.4	27.6	0.6	3.6	96	81	6.3	6.5	391.0145313
Barisal	2017	8	3	32.6	26.8	4.6	1.6	96	81	3.7	9.1	305.3323438
Barisal	2017	8	4	32.6	26.8	0.8	2.8	96	74	6.3	6.5	391.0145313
Barisal	2017	8	5	32.6	27	15.6	3.6	96	77	6.8	6	407.491875
Barisal	2017	8	6	31.4	26.4	59.6	3.6	96	96	1.6	11.2	236.1275
Barisal	2017	8	7	28.8	24.8	8.4	3.4	96	92	2	10.8	249.309375
Barisal	2017	8	8	31.4	24.8	4.2	3.2	96	80	4.2	8.6	321.8096875
Barisal	2017	8	9	33	26.6	0	4	96	81	7.9	4.9	443.7420313
Barisal	2017	8	10	29	27.4	31.2	2.2	96	96	0	12.8	183.4
Barisal	2017	8	13	31	25.6	5.4	2.4	96	84	2.5	10.3	265.7867188
Barisal	2017	8	14	30.8	26	0	2	96	88	0.5	12.3	199.8773438
Barisal	2017	8	15	31.8	26.2	19.4	2.4	96	81	3.4	9.4	295.4459375
Barisal	2017	8	16	28.8	26.2	4.6	2.6	96	96	0.1	12.7	186.6954688
Barisal	2017	8	17	31.4	26	5	4	96	88	5.8	7	374.5371875
Barisal	2017	8	18	31.4	26.4	5.8	2.8	96	80	7	5.8	414.0828125
Barisal	2017	8	19	31.2	26.4	2.6	3.6	96	77	8.6	4.2	466.8103125
Barisal	2017	8	20	32	26.2	0	4	96	77	9.6	3.2	499.765
Barisal	2017	8	21	34.8	27	0.6	3.6	96	68	7.2	5.6	420.67375
Barisal	2017	8	22	35.2	27.2	3.4	2.4	96	88	1.3	11.5	226.2410938
Barisal	2017	8	25	34.2	27	0	3	96	74	8.8	4	473.40125
Barisal	2017	8	26	31.4	27.2	44.4	4.4	96	87	0.4	12.4	196.581875
Barisal	2017	8	27	30.8	25.6	9.4	3.4	96	84	7.2	5.6	420.67375
Barisal	2017	8	28	30.8	25.6	7.6	3.6	96	84	6.6	6.2	400.9009375
Barisal	2017	8	29	31.4	25.8	7.8	2.8	96	96	6.8	6	407.491875
Barisal	2017	8	30	32.8	25.8	4.4	3.4	96	81	6	6.8	381.128125
Barisal	2017	8	31	31.2	26.2	6.2	2.2	96	92	3.2	9.6	288.855
Barisal	2017	9	1	31	25.2	11.4	2.4	96	91	2	10.2	223.9081967
Barisal	2017	9	2	30.8	25	6.4	2.4	96	92	2.1	10.1	226.9736066
Barisal	2017	9	3	32.8	25.4	14.2	3.2	96	84	4.5	7.7	300.5434426
Barisal	2017	9	4	33.2	26	0	2	96	92	1.7	10.5	214.7119672
Barisal	2017	9	5	33	26.4	3.4	2.4	96	74	4.7	7.5	306.6742623
Barisal	2017	9	6	34	27	0	4	96	71	7.4	4.8	389.4403279
Barisal	2017	9	7	34.6	26.6	0	3	96	68	8.8	3.4	432.3560656
Barisal	2017	9	8	30.2	27.2	2.6	2.6	96	88	0.3	11.9	171.7962295
Barisal	2017	9	9	32	26.6	7.4	3.4	96	84	2.9	9.3	251.4968852
Barisal	2017	9	10	31.8	26.8	0	4	96	80	6.9	5.3	374.1132787
Barisal	2017	9	11	31	27	39	2	96	96	2.4	9.8	236.1698361
Barisal	2017	9	12	29.4	24	0	2	100	92	0.9	11.3	190.1886885
Barisal	2017	9	13	32.4	25	3.8	2.8	96	74	7.4	4.8	389.4403279
Barisal	2017	9	14	32.6	25.2	0	2	96	77	8.6	3.6	426.2252459
Barisal	2017	9	15	33	26.4	0	3	96	71	6.1	6.1	349.59
Barisal	2017	9	16	34.4	27	0	4	92	62	8.4	3.8	420.0944262
Barisal	2017	9	17	35.8	27	34.6	4.6	96	84	3.6	8.6	272.9547541
Barisal	2017	9	18	31.2	24.2	49.6	3.6	96	87	6.3	5.9	355.7208197
Barisal	2017	9	19	30.4	25.2	19	3	96	77	5	7.2	315.8704918
Barisal	2017	9	20	29	25.2	6	2	96	92	2.9	9.3	251.4968852
Barisal	2017	9	21	30.6	26	0	2	96	92	1.5	10.7	208.5811475
Barisal	2017	9	22	34	26.6	0	2	96	71	8.7	3.5	429.2906557
Barisal	2017	9	23	34	26.8	0	2	96	71	7.4	4.8	389.4403279
Barisal	2017	9	24	34.8	27	0	2	92	74	5.5	6.7	331.197541
Barisal	2017	9	25	33	27	0	1	96	78	0.3	11.9	171.7962295
Barisal	2017	9	26	31.6	26.4	0	1	96	80	0.3	11.9	171.7962295
Barisal	2017	9	27	29.6	26.6	7.4	1.4	96	84	1.1	11.1	196.3195082
Barisal	2017	9	28	31.8	25	34	2	96	88	1.3	10.9	202.4503279
Barisal	2017	9	29	29.4	24.6	10	2	96	92	1.1	11.1	196.3195082
Barisal	2017	9	30	29	25	5.8	1.8	96	92	1.4	10.8	205.5157377
Barisal	2017	10	1	32	25	4.6	1.6	96	84	5.4	5.76	303.9772414
Barisal	2017	10	2	34.2	24.6	1.6	2.6	96	71	7.6	3.56	368.0124138
Barisal	2017	10	3	31.8	26	0	2	96	77	5	6.16	292.3344828
Barisal	2017	10	4	35	26	0	2	96	68	8.3	2.86	388.3872414
Barisal	2017	10	5	32	24	0	2	96	92	1.2	9.96	181.7282759
Barisal	2017	10	6	34.8	26	0	1	96	84	7.2	3.96	356.3696552
Barisal	2017	10	7	30.8	26	0	2	91	80	1.7	9.46	196.2817241
Barisal	2017	10	8	26.6	25.6	79	3	96	91	0	11.16	146.8
Barisal	2017	10	9	28.6	24	14.2	2.2	95	91	2	9.16	205.0137931
Barisal	2017	10	10	33.2	24	0	3	96	74	8.4	2.76	391.297931
Barisal	2017	10	11	34.4	25	0	3	96	62	8	3.16	379.6551724
Barisal	2017	10	12	34.6	25.4	0	2	96	62	7.6	3.56	368.0124138
Barisal	2017	10	13	35.6	25.8	0	2	96	62	8.3	2.86	388.3872414
Barisal	2017	10	14	35.4	25.8	0	2	96	62	7.7	3.46	370.9231034
Barisal	2017	10	15	35.4	25.8	0	2	96	74	5.5	5.66	306.887931
Barisal	2017	10	16	34.2	25.8	0	2	96	64	0	11.16	146.8
Barisal	2017	10	17	34.8	25.2	0	2	96	62	6.4	4.76	333.0841379
Barisal	2017	10	18	30.4	26	11.2	3.2	95	69	2.9	8.26	231.21
Barisal	2017	10	19	30.4	24	21.4	1.4	95	87	1.8	9.36	199.1924138
Barisal	2017	10	20	25	24.4	181.6	0	100	96	0	11.16	146.8
Barisal	2017	10	21	25.6	23.8	29.2	3.2	100	96	0	11.16	146.8
Barisal	2017	10	22	28.4	21.6	0	3	95	79	5.8	5.36	315.62
Barisal	2017	10	23	32	22.4	0	3	95	77	7.6	3.56	368.0124138
Barisal	2017	10	24	32.4	24	0	3	96	74	6.1	5.06	324.352069
Barisal	2017	10	25	32.4	23	0	3	95	63	5.8	5.36	315.62
Barisal	2017	10	26	31.8	23.2	0	2	95	60	6.2	4.96	327.2627586
Barisal	2017	10	27	31	21.8	0	2	95	59	6.8	4.36	344.7268966
Barisal	2017	10	28	30.6	21	0	2	95	69	6.7	4.46	341.8162069
Barisal	2017	10	29	28.6	21.6	1.2	2.2	95	71	2.9	8.26	231.21
Barisal	2017	10	30	21	20.6	4.4	1.4	95	90	0	11.16	146.8
Barisal	2017	10	31	28.2	18.4	0	2	95	60	6.8	4.36	344.7268966
Barisal	2017	11	1	31	19.6	0	4	95	63	7.3	3.7	313.7743636
Barisal	2017	11	2	31	20	0	2	95	59	6.6	3.7	295.596
Barisal	2017	11	3	32	20	0	2	95	61	7.1	3.7	308.5805455
Barisal	2017	11	4	33.8	21	0	2	95	58	7	3.7	305.9836364
Barisal	2017	11	5	33.6	21.6	0	2	95	58	7.2	3.7	311.1774545
Barisal	2017	11	6	33	21.6	0	2	95	55	7.2	3.7	311.1774545
Barisal	2017	11	7	32.6	21.2	0	2	95	54	7.8	3.7	326.7589091
Barisal	2017	11	8	32.6	20.8	0	2	95	54	7.4	3.7	316.3712727
Barisal	2017	11	9	31.8	20.8	0	2	95	50	7.3	3.7	313.7743636
Barisal	2017	11	10	31.2	20.6	0	3	95	57	7.2	3.7	311.1774545
Barisal	2017	11	13	32.4	20.2	0	2	95	57	6.9	3.7	303.3867273
Barisal	2017	11	14	32.8	21	0	3	90	57	5.3	3.7	261.8361818
Barisal	2017	11	15	26	21.4	8.6	1.6	90	83	0	3.7	124.2
Barisal	2017	11	16	24.6	20.8	0.2	1.2	95	91	0	3.7	124.2
Barisal	2017	11	17	27	21	5	1	95	82	0	3.7	124.2
Barisal	2017	11	18	29.6	22	0	2	95	69	4.4	3.7	238.464
Barisal	2017	11	19	31.4	22.4	0	1	95	60	6.1	3.7	282.6114545
Barisal	2017	11	20	29.6	20.8	0	1	95	57	6.8	3.7	300.7898182
Barisal	2017	11	21	28.8	20.4	0	2	90	60	7	3.7	305.9836364
Barisal	2017	11	22	27.4	15.8	0	2	94	59	6.6	3.7	295.596
Barisal	2017	11	25	27.8	15.6	0	1	94	53	5.6	3.7	269.6269091
Barisal	2017	11	26	27.8	15	0	1	94	56	6.3	3.7	287.8052727
Barisal	2017	11	27	28.2	15.4	0	1	94	56	6.6	3.7	295.596
Barisal	2017	11	28	26.8	14.6	13.8	1	94	56	6.4	3.7	290.4021818
Barisal	2017	11	29	26	15	0.552	1	94	55	6	3.7	280.0145455
Barisal	2017	11	30	26.4	15	0	2	94	55	5.9	3.7	277.4176364
Barisal	2017	12	1	27.6	14.2	0	1	94	56	6.6	4.1	274.2796262
Barisal	2017	12	2	29	14.8	0	1	94	57	6.8	3.9	279.1547664
Barisal	2017	12	3	27.4	15.2	0	2	94	53	6.8	3.9	279.1547664
Barisal	2017	12	4	27.2	14.8	0	1	94	55	6.6	4.1	274.2796262
Barisal	2017	12	5	27.4	14.8	0	1	94	56	6.7	4	276.7171963
Barisal	2017	12	6	26.2	15	0	1	94	53	6.3	4.4	266.9669159
Barisal	2017	12	7	26.8	14.8	0	2	94	56	5.8	4.9	254.7790654
Barisal	2017	12	8	23.4	15	6	1	90	80	0	10.7	113.4
Barisal	2017	12	9	22.4	18.8	37	2	95	90	0	10.7	113.4
Barisal	2017	12	10	24.4	19.8	26.2	0	95	95	2	8.7	162.1514019
Barisal	2017	12	11	22.8	20.6	0	1	95	55	0	10.7	113.4
Barisal	2017	12	12	25.6	20.2	0	1	95	78	4.7	6	227.9657944
Barisal	2017	12	13	26.6	17.6	0	1	94	74	5.8	4.9	254.7790654
Barisal	2017	12	14	26.2	18	0	1	95	60	6.4	4.3	269.404486
Barisal	2017	12	15	25.8	16	0	1	94	57	6.5	4.2	271.8420561
Barisal	2017	12	16	25.8	13.8	0	1	94	60	6.3	4.4	266.9669159
Barisal	2017	12	17	25	14.2	0	1	94	62	6.1	4.6	262.0917757
Barisal	2017	12	18	24.4	15	0	1	94	69	5	5.7	235.2785047
Barisal	2017	12	19	21	15.2	0	1	94	76	1.4	9.3	147.5259813
Barisal	2017	12	20	23	14.8	0	1	94	65	5	5.7	235.2785047
